stimulus,aoi_index,aoi_content,fprt
voicemail-zero.text.0,0,The,464.0
voicemail-zero.text.0,1,Forgotten,0.0
voicemail-zero.text.0,2,Message,136.0
voicemail-zero.text.0,3,As,0.0
voicemail-zero.text.0,4,she,0.0
voicemail-zero.text.0,5,scrolled,314.0
voicemail-zero.text.0,6,through,219.0
voicemail-zero.text.0,7,her,109.0
voicemail-zero.text.0,8,"phone,",353.0
voicemail-zero.text.0,9,Emily's,0.0
voicemail-zero.text.0,10,eyes,331.0
voicemail-zero.text.0,11,landed,172.0
voicemail-zero.text.0,12,on,0.0
voicemail-zero.text.0,13,a,0.0
voicemail-zero.text.0,14,number,0.0
voicemail-zero.text.0,15,she,151.0
voicemail-zero.text.0,16,didn't,160.0
voicemail-zero.text.0,17,recognize.,0.0
voicemail-zero.text.0,18,It,140.0
voicemail-zero.text.0,19,was,0.0
voicemail-zero.text.0,20,an,0.0
voicemail-zero.text.0,21,old,0.0
voicemail-zero.text.0,22,"number,",154.0
voicemail-zero.text.0,23,one,111.0
voicemail-zero.text.0,24,she,0.0
voicemail-zero.text.0,25,hadn't,136.0
voicemail-zero.text.0,26,seen,355.0
voicemail-zero.text.0,27,in,0.0
voicemail-zero.text.0,28,years.,708.0
voicemail-zero.text.0,29,A,0.0
voicemail-zero.text.0,30,shiver,165.0
voicemail-zero.text.0,31,ran,144.0
voicemail-zero.text.0,32,down,103.0
voicemail-zero.text.0,33,her,0.0
voicemail-zero.text.0,34,spine,0.0
voicemail-zero.text.0,35,as,0.0
voicemail-zero.text.0,36,she,134.0
voicemail-zero.text.0,37,hesitated,138.0
voicemail-zero.text.0,38,for,0.0
voicemail-zero.text.0,39,a,206.0
voicemail-zero.text.0,40,moment,125.0
voicemail-zero.text.0,41,before,253.0
voicemail-zero.text.0,42,deciding,235.0
voicemail-zero.text.0,43,to,0.0
voicemail-zero.text.0,44,play,126.0
voicemail-zero.text.0,45,the,184.0
voicemail-zero.text.0,46,voicemail.,119.0
voicemail-zero.text.0,47,The,0.0
voicemail-zero.text.0,48,voice,0.0
voicemail-zero.text.0,49,on,189.0
voicemail-zero.text.0,50,the,0.0
voicemail-zero.text.0,51,other,400.0
voicemail-zero.text.0,52,end,0.0
