stimulus,aoi_index,aoi_content,fprt
prize-neg.text.0,0,Second,0.0
prize-neg.text.0,1,Place,0.0
prize-neg.text.0,2,For,0.0
prize-neg.text.0,3,as,0.0
prize-neg.text.0,4,long,0.0
prize-neg.text.0,5,as,0.0
prize-neg.text.0,6,she,0.0
prize-neg.text.0,7,could,0.0
prize-neg.text.0,8,"remember,",353.0
prize-neg.text.0,9,Emma,0.0
prize-neg.text.0,10,had,0.0
prize-neg.text.0,11,come,0.0
prize-neg.text.0,12,in,0.0
prize-neg.text.0,13,second,0.0
prize-neg.text.0,14,place.,0.0
prize-neg.text.0,15,It,0.0
prize-neg.text.0,16,wasn't,0.0
prize-neg.text.0,17,just,0.0
prize-neg.text.0,18,in,0.0
prize-neg.text.0,19,school,214.0
prize-neg.text.0,20,or,400.0
prize-neg.text.0,21,on,0.0
prize-neg.text.0,22,the,0.0
prize-neg.text.0,23,sports,182.0
prize-neg.text.0,24,field,0.0
prize-neg.text.0,25,–,0.0
prize-neg.text.0,26,it,0.0
prize-neg.text.0,27,was,0.0
prize-neg.text.0,28,in,213.0
prize-neg.text.0,29,every,0.0
prize-neg.text.0,30,aspect,172.0
prize-neg.text.0,31,of,0.0
prize-neg.text.0,32,her,0.0
prize-neg.text.0,33,life.,0.0
prize-neg.text.0,34,Whether,168.0
prize-neg.text.0,35,it,0.0
prize-neg.text.0,36,was,0.0
prize-neg.text.0,37,a,0.0
prize-neg.text.0,38,"contest,",222.0
prize-neg.text.0,39,a,0.0
prize-neg.text.0,40,"competition,",395.0
prize-neg.text.0,41,or,231.0
prize-neg.text.0,42,even,0.0
prize-neg.text.0,43,a,0.0
prize-neg.text.0,44,"relationship,",123.0
prize-neg.text.0,45,she,0.0
prize-neg.text.0,46,always,168.0
prize-neg.text.0,47,seemed,0.0
prize-neg.text.0,48,to,0.0
prize-neg.text.0,49,fall,391.0
prize-neg.text.0,50,just,0.0
prize-neg.text.0,51,short,123.0
prize-neg.text.0,52,of,0.0
prize-neg.text.0,53,the,0.0
prize-neg.text.0,54,top,368.0
prize-neg.text.0,55,spot.,0.0
prize-neg.text.0,56,As,0.0
prize-neg.text.0,57,a,0.0
prize-neg.text.0,58,"child,",125.0
prize-neg.text.0,59,she,0.0
prize-neg.text.0,60,would,127.0
prize-neg.text.0,61,watch,0.0
prize-neg.text.0,62,in,0.0
prize-neg.text.0,63,awe,219.0
prize-neg.text.0,64,as,0.0
prize-neg.text.0,65,her,0.0
prize-neg.text.0,66,siblings,125.0
prize-neg.text.0,67,and,0.0
prize-neg.text.0,68,friends,0.0
prize-neg.text.0,69,took,276.0
prize-neg.text.0,70,home,155.0
prize-neg.text.0,71,the,0.0
prize-neg.text.0,72,trophies,288.0
prize-neg.text.0,73,and,0.0
prize-neg.text.0,74,"medals,",0.0
prize-neg.text.0,75,while,172.0
prize-neg.text.0,76,she,0.0
prize-neg.text.0,77,was,0.0
prize-neg.text.0,78,left,210.0
prize-neg.text.0,79,with,0.0
prize-neg.text.0,80,a,0.0
prize-neg.text.0,81,consolation,277.0
prize-neg.text.0,82,prize,0.0
prize-neg.text.0,83,or,0.0
prize-neg.text.0,84,a,0.0
prize-neg.text.0,85,pat,181.0
prize-neg.text.0,86,on,0.0
prize-neg.text.0,87,the,117.0
prize-neg.text.0,88,back.,0.0
prize-neg.text.0,89,Her,0.0
prize-neg.text.0,90,parents,228.0
prize-neg.text.0,91,would,0.0
prize-neg.text.0,92,try,0.0
prize-neg.text.0,93,to,0.0
prize-neg.text.0,94,reassure,166.0
prize-neg.text.0,95,her,0.0
prize-neg.text.0,96,that,0.0
prize-neg.text.0,97,it,0.0
prize-neg.text.0,98,was,125.0
prize-neg.text.0,99,"okay,",0.0
prize-neg.text.0,100,that,171.0
prize-neg.text.0,101,she,0.0
prize-neg.text.0,102,was,0.0
prize-neg.text.0,103,still,0.0
prize-neg.text.0,104,a,155.0
prize-neg.text.0,105,winner,0.0
prize-neg.text.0,106,in,0.0
prize-neg.text.0,107,their,0.0
prize-neg.text.0,108,"eyes,",0.0
prize-neg.text.0,109,but,126.0
prize-neg.text.0,110,Emma,0.0
prize-neg.text.0,111,couldn't,0.0
prize-neg.text.0,112,shake,0.0
prize-neg.text.0,113,the,0.0
prize-neg.text.0,114,feeling,167.0
prize-neg.text.0,115,that,0.0
prize-neg.text.0,116,she,154.0
prize-neg.text.0,117,was,0.0
prize-neg.text.0,118,meant,324.0
prize-neg.text.0,119,for,0.0
prize-neg.text.0,120,more.,0.0
prize-neg.text.1,121,As,0.0
prize-neg.text.1,122,she,0.0
prize-neg.text.1,123,grew,215.0
prize-neg.text.1,124,"older,",0.0
prize-neg.text.1,125,the,0.0
prize-neg.text.1,126,feeling,0.0
prize-neg.text.1,127,of,0.0
prize-neg.text.1,128,coming,0.0
prize-neg.text.1,129,in,0.0
prize-neg.text.1,130,second,0.0
prize-neg.text.1,131,place,0.0
prize-neg.text.1,132,began,0.0
prize-neg.text.1,133,to,0.0
prize-neg.text.1,134,take,0.0
prize-neg.text.1,135,a,0.0
prize-neg.text.1,136,toll,0.0
prize-neg.text.1,137,on,0.0
prize-neg.text.1,138,her.,0.0
prize-neg.text.1,139,She,0.0
prize-neg.text.1,140,started,0.0
prize-neg.text.1,141,to,0.0
prize-neg.text.1,142,feel,0.0
prize-neg.text.1,143,like,0.0
prize-neg.text.1,144,she,0.0
prize-neg.text.1,145,was,0.0
prize-neg.text.1,146,stuck,0.0
prize-neg.text.1,147,in,0.0
prize-neg.text.1,148,a,0.0
prize-neg.text.1,149,"rut,",0.0
prize-neg.text.1,150,like,0.0
prize-neg.text.1,151,she,0.0
prize-neg.text.1,152,was,0.0
prize-neg.text.1,153,destined,0.0
prize-neg.text.1,154,to,0.0
prize-neg.text.1,155,always,0.0
prize-neg.text.1,156,be,0.0
prize-neg.text.1,157,the,0.0
prize-neg.text.1,158,bridesmaid,0.0
prize-neg.text.1,159,and,0.0
prize-neg.text.1,160,never,0.0
prize-neg.text.1,161,the,0.0
prize-neg.text.1,162,bride.,0.0
prize-neg.text.1,163,She,0.0
prize-neg.text.1,164,began,0.0
prize-neg.text.1,165,to,0.0
prize-neg.text.1,166,wonder,0.0
prize-neg.text.1,167,if,0.0
prize-neg.text.1,168,she,0.0
prize-neg.text.1,169,was,0.0
prize-neg.text.1,170,just,0.0
prize-neg.text.1,171,not,0.0
prize-neg.text.1,172,good,0.0
prize-neg.text.1,173,"enough,",0.0
prize-neg.text.1,174,if,0.0
prize-neg.text.1,175,she,0.0
prize-neg.text.1,176,would,0.0
prize-neg.text.1,177,ever,0.0
prize-neg.text.1,178,be,0.0
prize-neg.text.1,179,able,0.0
prize-neg.text.1,180,to,0.0
prize-neg.text.1,181,break,0.0
prize-neg.text.1,182,free,0.0
prize-neg.text.1,183,from,0.0
prize-neg.text.1,184,the,0.0
prize-neg.text.1,185,cycle,0.0
prize-neg.text.1,186,of,0.0
prize-neg.text.1,187,second,0.0
prize-neg.text.1,188,place.,0.0
prize-neg.text.1,189,But,0.0
prize-neg.text.1,190,"then,",0.0
prize-neg.text.1,191,one,0.0
prize-neg.text.1,192,"day,",0.0
prize-neg.text.1,193,Emma,0.0
prize-neg.text.1,194,received,0.0
prize-neg.text.1,195,an,0.0
prize-neg.text.1,196,email,0.0
prize-neg.text.1,197,that,0.0
prize-neg.text.1,198,changed,0.0
prize-neg.text.1,199,everything.,0.0
prize-neg.text.1,200,She,0.0
prize-neg.text.1,201,had,0.0
prize-neg.text.1,202,entered,0.0
prize-neg.text.1,203,a,0.0
prize-neg.text.1,204,writing,0.0
prize-neg.text.1,205,contest,0.0
prize-neg.text.1,206,for,0.0
prize-neg.text.1,207,a,0.0
prize-neg.text.1,208,novel,0.0
prize-neg.text.1,209,she,0.0
prize-neg.text.1,210,had,0.0
prize-neg.text.1,211,been,234.0
prize-neg.text.1,212,working,0.0
prize-neg.text.1,213,on,0.0
prize-neg.text.1,214,for,116.0
prize-neg.text.1,215,"years,",114.0
prize-neg.text.1,216,and,0.0
prize-neg.text.1,217,to,0.0
prize-neg.text.1,218,her,0.0
prize-neg.text.1,219,"surprise,",227.0
prize-neg.text.1,220,she,0.0
prize-neg.text.1,221,had,0.0
prize-neg.text.1,222,won,212.0
prize-neg.text.1,223,first,0.0
prize-neg.text.1,224,place.,0.0
prize-neg.text.1,225,She,0.0
prize-neg.text.1,226,was,211.0
prize-neg.text.1,227,over,0.0
prize-neg.text.1,228,the,0.0
prize-neg.text.1,229,moon,233.0
prize-neg.text.1,230,with,0.0
prize-neg.text.1,231,"excitement,",0.0
prize-neg.text.1,232,and,133.0
prize-neg.text.1,233,for,0.0
prize-neg.text.1,234,the,0.0
prize-neg.text.1,235,first,134.0
prize-neg.text.1,236,time,0.0
prize-neg.text.1,237,in,0.0
