stimulus,aoi_index,aoi_content,fprt
breakfast-pos.text.0,0,Breakfast,0.0
breakfast-pos.text.0,1,with,110.0
breakfast-pos.text.0,2,a,0.0
breakfast-pos.text.0,3,Stranger,293.0
breakfast-pos.text.0,4,The,0.0
breakfast-pos.text.0,5,diner's,362.0
breakfast-pos.text.0,6,fluorescent,168.0
breakfast-pos.text.0,7,lights,162.0
breakfast-pos.text.0,8,hummed,162.0
breakfast-pos.text.0,9,"overhead,",215.0
breakfast-pos.text.0,10,casting,199.0
breakfast-pos.text.0,11,an,0.0
breakfast-pos.text.0,12,unforgiving,368.0
breakfast-pos.text.0,13,glare,364.0
breakfast-pos.text.0,14,over,0.0
breakfast-pos.text.0,15,the,0.0
breakfast-pos.text.0,16,Formica,0.0
breakfast-pos.text.0,17,countertops,138.0
breakfast-pos.text.0,18,and,0.0
breakfast-pos.text.0,19,vinyl,398.0
breakfast-pos.text.0,20,booths.,250.0
breakfast-pos.text.0,21,Rachel,205.0
breakfast-pos.text.0,22,settled,311.0
breakfast-pos.text.0,23,into,307.0
breakfast-pos.text.0,24,her,0.0
breakfast-pos.text.0,25,usual,342.0
breakfast-pos.text.0,26,"booth,",146.0
breakfast-pos.text.0,27,scanning,0.0
breakfast-pos.text.0,28,the,0.0
breakfast-pos.text.0,29,menu,0.0
breakfast-pos.text.0,30,with,107.0
breakfast-pos.text.0,31,practiced,533.0
breakfast-pos.text.0,32,familiarity.,400.0
breakfast-pos.text.0,33,She,0.0
breakfast-pos.text.0,34,ordered,207.0
breakfast-pos.text.0,35,her,148.0
breakfast-pos.text.0,36,usual,0.0
breakfast-pos.text.0,37,breakfast:,357.0
breakfast-pos.text.0,38,scrambled,0.0
breakfast-pos.text.0,39,"eggs,",108.0
breakfast-pos.text.0,40,crispy,268.0
breakfast-pos.text.0,41,"bacon,",169.0
breakfast-pos.text.0,42,and,0.0
breakfast-pos.text.0,43,whole-grain,567.0
breakfast-pos.text.0,44,toast.,0.0
breakfast-pos.text.0,45,The,0.0
breakfast-pos.text.0,46,"waitress,",206.0
breakfast-pos.text.0,47,a,179.0
breakfast-pos.text.0,48,bleary-eyed,768.0
breakfast-pos.text.0,49,woman,0.0
breakfast-pos.text.0,50,named,135.0
breakfast-pos.text.0,51,"Darla,",104.0
breakfast-pos.text.0,52,scribbled,157.0
breakfast-pos.text.0,53,down,146.0
breakfast-pos.text.0,54,the,0.0
breakfast-pos.text.0,55,order,350.0
breakfast-pos.text.0,56,and,0.0
breakfast-pos.text.0,57,trudged,224.0
breakfast-pos.text.0,58,"away,",0.0
breakfast-pos.text.0,59,leaving,177.0
breakfast-pos.text.0,60,Rachel,168.0
breakfast-pos.text.0,61,to,0.0
breakfast-pos.text.0,62,wait.,119.0
breakfast-pos.text.0,63,Minutes,165.0
breakfast-pos.text.0,64,ticked,167.0
breakfast-pos.text.0,65,"by,",137.0
breakfast-pos.text.0,66,and,152.0
