stimulus,aoi_index,aoi_content,fprt
delayed-pos.text.0,0,Delayed,784.0
delayed-pos.text.0,1,Flight,0.0
delayed-pos.text.0,2,The,197.0
delayed-pos.text.0,3,storm,0.0
delayed-pos.text.0,4,raged,310.0
delayed-pos.text.0,5,"outside,",0.0
delayed-pos.text.0,6,its,584.0
delayed-pos.text.0,7,fury,0.0
delayed-pos.text.0,8,unrelenting,335.0
delayed-pos.text.0,9,as,0.0
delayed-pos.text.0,10,the,0.0
delayed-pos.text.0,11,airport's,143.0
delayed-pos.text.0,12,fluorescent,954.0
delayed-pos.text.0,13,lights,0.0
delayed-pos.text.0,14,flickered,605.0
delayed-pos.text.0,15,ominously.,0.0
delayed-pos.text.0,16,Rachel,268.0
delayed-pos.text.0,17,huddled,193.0
delayed-pos.text.0,18,under,0.0
delayed-pos.text.0,19,a,0.0
delayed-pos.text.0,20,dripping,180.0
delayed-pos.text.0,21,"umbrella,",279.0
delayed-pos.text.0,22,scanning,298.0
delayed-pos.text.0,23,the,0.0
delayed-pos.text.0,24,departures,341.0
delayed-pos.text.0,25,board,344.0
delayed-pos.text.0,26,with,0.0
delayed-pos.text.0,27,growing,360.0
delayed-pos.text.0,28,desperation.,413.0
delayed-pos.text.0,29,Another,148.0
delayed-pos.text.0,30,"delay,",0.0
delayed-pos.text.0,31,another,420.0
delayed-pos.text.0,32,missed,0.0
delayed-pos.text.0,33,"connection,",220.0
delayed-pos.text.0,34,another,0.0
delayed-pos.text.0,35,missed,355.0
delayed-pos.text.0,36,opportunity.,394.0
delayed-pos.text.0,37,Across,210.0
delayed-pos.text.0,38,the,0.0
delayed-pos.text.0,39,"terminal,",320.0
delayed-pos.text.0,40,Jack,0.0
delayed-pos.text.0,41,slumped,108.0
delayed-pos.text.0,42,against,113.0
delayed-pos.text.0,43,a,0.0
delayed-pos.text.0,44,"pillar,",0.0
delayed-pos.text.0,45,nursing,652.0
delayed-pos.text.0,46,a,0.0
delayed-pos.text.0,47,lukewarm,301.0
delayed-pos.text.0,48,coffee.,223.0
delayed-pos.text.0,49,His,143.0
delayed-pos.text.0,50,phone,345.0
delayed-pos.text.0,51,buzzed,0.0
delayed-pos.text.0,52,"incessantly,",559.0
delayed-pos.text.0,53,a,299.0
delayed-pos.text.0,54,constant,125.0
delayed-pos.text.0,55,reminder,100.0
delayed-pos.text.0,56,of,0.0
delayed-pos.text.0,57,his,0.0
delayed-pos.text.0,58,impending,382.0
delayed-pos.text.0,59,flight,346.0
delayed-pos.text.0,60,cancellation.,547.0
delayed-pos.text.0,61,Frustration,842.0
delayed-pos.text.0,62,simmered,277.0
delayed-pos.text.0,63,just,427.0
delayed-pos.text.0,64,below,0.0
delayed-pos.text.0,65,the,0.0
delayed-pos.text.0,66,"surface,",584.0
delayed-pos.text.0,67,threatening,264.0
delayed-pos.text.0,68,to,0.0
delayed-pos.text.0,69,boil,301.0
delayed-pos.text.0,70,over.,0.0
delayed-pos.text.1,71,As,0.0
delayed-pos.text.1,72,the,0.0
delayed-pos.text.1,73,storm,246.0
delayed-pos.text.1,74,"intensified,",236.0
delayed-pos.text.1,75,the,0.0
delayed-pos.text.1,76,airport's,263.0
delayed-pos.text.1,77,speakers,0.0
delayed-pos.text.1,78,crackled,295.0
delayed-pos.text.1,79,to,0.0
delayed-pos.text.1,80,"life,",0.0
delayed-pos.text.1,81,announcing,157.0
delayed-pos.text.1,82,yet,0.0
delayed-pos.text.1,83,another,0.0
delayed-pos.text.1,84,postponement.,0.0
delayed-pos.text.1,85,Rachel's,288.0
delayed-pos.text.1,86,eyes,0.0
delayed-pos.text.1,87,met,453.0
delayed-pos.text.1,88,"Jack's,",0.0
delayed-pos.text.1,89,and,0.0
